ID_Menu,Nama_Menu,Restoran,Kota
MNU000424,Cappuccino,RM Sederhana,DENPASAR
MNU000549,Rawon Surabaya,Restoran Tidak Diketahui,bANJARMASIN
MNU000732,Tidak Ada,,bOGOR
MNU000589,Mie Ayam Bakso,Resto Premium,Pekanbaru
MNU000033,Nasi Uduk,Depot Makan Enak,pALEMBANG
MNU000617,Nasi Uduk,Resto Premium,Surabaya
MNU000992,Es Teh Manis,Depot Makan Enak,PEKANBARU
MNU000994,Gado-gado,Warung Tyegal,Pekanbaru
MNU000892,Sate Ayam,Depot Makan Enak,Tangerang
MNU000924,Rendang Daging,Resto Premium,YOGYAKARTA
MNU000291,Rawon Surabaya,Depot Makabn Enak,bATAM
MNU000582,Jus Alpukat,Resto Premium,malang
MNU000635,Nasi Uduk,Warung Pak Budi,Bogor
MNU000159,Es Teh Manis,Rumah Makan Padang,BALIKPAPAN
MNU000366,Es Teh Manis,Kedai Soto,BEKASI
MNU000449,Gado-gado,Warung Tegal,jakarta
MNU000334,Cappuccino,Cafe Kopi Nusantara,Batam
MNU000496,Kopi Susu Gula Aren,Rumah Makan Padang,DEPOK
MNU000913,Bakso Urat,Cafe Kopi Nusantara,Bekasi
MNU000894,Cappuccino,Warung Pak Budi,Banjarmasin
MNU000057,Kopi Susu Gula Aren,Kedai Soto,MALANG
MNU000071,Soto Ayam Lamongan,Restoran Tidak Diketahui,Pontianak
MNU000486,Es Teh Manis,Restoran Tidak Diketahui,Pekanbaru
MNU000389,Ayam Bakar,WaruNg Tegal,mEDAN
MNU000529,Nasi Uduk,Depot Makan Enak,bEKASI
MNU000988,Soto Ayam Lamongan,Cafe Kopi Nusantara,Mandao
MNU000838,Nasi Padang,Resto Premium,Manado
MNU000372,Gado-gado,Resto Premium,bEKASI
MNU000712,Roti Bakar,Warung Tegal,Makassar
MNU000761,Nasi Goreng Spesial,Cafe Kopi Nusantara,BOGOR
MNU000657,Martabak Telor,Warung Tegal,mALANG
MNU000680,Ketoprak,Rumah Makan Padapng,Palembang
MNU000052,Opor Ayam,Resto Permium,Yogyakarta
MNU000278,Mie Ayam Bakso,Restoran Tidak Diketahui,Kota Tidak Diketahui
MNU000175,Jus Alpukat,Resto Premium,Kota Tidak Diketahui
MNU000618,Ketoprak,Warung Tegal,Bandtung
MNU000762,Cappuccino,Kedai Soto,bANUDNG
MNU000087,Soto Ayam Lamongan,Warung Tegal,SURABAYA
MNU000310,N/A,Resto Premium,Denpasar
MNU000699,Opor Ayam,Warung Pak Budi,Tangerng
MNU000390,Opor Ayam,Depot Makan Enak,Pekanbaru
MNU000707,Sate Ayam,Cafe Kopi Nusantara,MAKASSAR
MNU000678,Nasi Goreng Spesial,Cafe Kopi Nusantara,Pekanbaru
MNU000955,Kopi Susu Gula Aren,Kedai Soto,bogor
MNU000993,Opor Ayam,Warung Tegal,Surabaya
MNU000110,Ketoprak,Rumah Makan Padang,Yogyakarta
MNU000089,Opor Ayam,Warung Pak Budi,MEDAN
MNU000032,,KedAi Soto,Kota Tidak Diketahui
MNU000788,Ayam Bakar,Kedai Soto,Yogyakarta
MNU000544,Ketorpak,Cafe Kopi Nusantara,Semarang
MNU000193,Cappuccino,Rumah Makan Padang,bOGOR
MNU000494,Roti Bakar,Warung Pak Budi,BANJARMASIN
MNU000382,Cappuccino,Warung TEgal,semarang
MNU000200,Pecl Lele,Kedai Soto,Makassar
MNU000622,Gad-gado,Warung Tegal,Tangerang
MNU000845,Nasi Padang,RM Sederhana,badnung
MNU000934,Ayam Bakar,Rumah Makan Padang,yOGYAKARTA
MNU000661,Rawon Surabaya,Kedai Soto,BekaSi
MNU000454,Nasi Goreng Spesial,Warung Pak Budi,Manado
MNU000883,Jus Alpukat,Kedai Soto,Pontianak
MNU000441,,Warung Tegal,bandung
MNU000185,Rendang Daging,Restoran Tidak Diketahui,Tangexrang
MNU000693,Bakso Urat,Kedai Soto,Blikpapan
MNU000290,Kopi Susu Gula Aren,Depot Makan Enak,SURABAYA
MNU000855,Nasi Goreng Spesial,Cafe Kopi Nusantara,Pekanbaru
MNU000820,Es Teh Manis,Kedai Soto,dENPASAR
MNU000877,Ketoprak,Depot Makan Enak,Kota Tidak Diketahui
MNU000478,Ayam Bakar,Rumah Makan Padang,denpasar
MNU000532,,Warung Pak Budi,Makassar
MNU000826,Nasi Padang,Cafe Kopi Nusantara,BANDUNG
MNU000561,Jus Alpukat,Rumah Makan Padang,Surabaya
MNU000751,Tidak Ada,Cafe Kopi Nusantara,Depok
MNU000597,Martabak Telor,Kedai Soto,Manado
MNU000378,Roti Bakar,RM Sederhana,jakarta
MNU000114,Martabak Telor,Resto Premium,BANJARMASIN
MNU000579,Ayam Bakar,RM Sederhana,BEkasi
MNU000890,Cappuccino,Depot Makan Enak,jAKARTA
MNU000950,Bakso Urat,Warung Tegal,Balikpappan
MNU000882,Rawon Surabaya,Depot Makan Enak,PalembaNg
MNU000946,Martabak Telor,Restoran Tidak Diketahui,Banjarmasin
MNU000257,Kopi Susu Gula Aren,Depot Makan Enak,pekanbaru
MNU000612,Gado-gado,Warung Tegal,sURABAYA
MNU000108,Opo rAyam,Cafe Kopi Nusantara,bEKASI
MNU000060,Bakso Urat,Cafe Kopi Nusantara,Bekasi
MNU000747,Nasi Goreng Spesial,RM Sederhana,Denpasar
MNU000352,Ayam Bakar,RM ederhana,dEOK
MNU000719,Ketoprak,Warung Pak Budi,Depok
MNU000405,Es Teh Manis,Restoran Tidak Diketahui,bANDUNG
MNU000534,Tidak Ada,Depot Makan Enak,Bekasi
MNU000024,Rendang Daging,Warung Tegal,BANJARMASIN
MNU000905,Nasi Goreng Spesial,Resto Premium,MAKASSAR
MNU000142,Nasi Goreng Spesial,Cafe Kopi Nusantara,dENPASAR
MNU000502,Ayam Bakar,Resto Premium,pontiaank
MNU000440,Pecel Lele,RM Sederhana,bOgor
MNU000356,Opor Ayam,Depot Makan  Enak,yogyakarta
MNU000984,Capppuccino,Warung Tegal,BOGOR
MNU000888,Nasi Uduk,Kedai Soto,Badnung
MNU000465,Gado-gado,Cafe Kopi Nusantara,bALIKPAPAN
MNU000102,Nasi Uduk,Rumaah Makan Padang,jAKARTA
MNU000179,Opor Ayam,Warung Tegal,Denpasyar
